shot_id,guid,page_sequence,index,buf_idx,flags,time_tick,time_seconds,n,az_deg,el_deg,radial_velocity_mps,dist_m,sync_idx,sync_buf,snr,peak,az1_deg,az2_deg,az3_deg,el1_deg,el2_deg,pk0,pk1,pk2,pk3,pk4,pk5
3,{6aae52a8-0000-4231-afd4-231cb04c0003},32,1088,5,9,63465,1.694515500,0.029010000,4.190000,5.350000,27.130000,0.000000,0,-1,192,905,4.270000,4.120000,0.000000,5.430000,5.280000,201.665163,238.519907,164.693594,163.476467,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},32,1120,5,9,63497,1.695369900,0.029860000,4.120000,5.300000,27.150000,0.000000,0,-1,192,904,4.170000,4.080000,0.000000,5.350000,5.260000,200.487375,243.110657,163.874626,162.431002,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},36,1152,4,9,63529,1.696224300,0.030720000,4.050000,5.150000,27.180000,0.000000,0,-1,195,904,4.130000,3.990000,0.000000,5.230000,5.080000,201.771259,250.071287,164.791346,165.604353,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},36,1184,4,9,63561,1.697078700,0.031570000,4.010000,4.990000,27.210000,0.000000,0,-1,201,904,4.100000,3.920000,0.000000,5.080000,4.900000,205.384493,258.378983,170.642138,173.368454,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},36,1216,3,9,63593,1.697933100,0.032420000,3.980000,4.850000,27.230000,0.000000,0,-1,210,904,4.070000,3.900000,0.000000,4.930000,4.770000,210.345984,265.324116,181.024075,183.706284,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},36,1248,3,9,63625,1.698787500,0.033280000,3.980000,4.740000,27.260000,0.000000,0,-1,219,904,4.050000,3.910000,0.000000,4.810000,4.670000,217.760801,270.323753,195.146799,195.910931,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},40,1280,3,9,63657,1.699641900,0.034130000,4.020000,4.660000,27.280000,0.000000,0,-1,231,904,4.080000,3.960000,0.000000,4.730000,4.600000,227.416754,275.303125,212.172270,210.344791,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},40,1312,4,9,63689,1.700496300,0.034980000,4.070000,4.620000,27.270000,0.000000,0,-1,242,904,4.150000,4.010000,0.000000,4.700000,4.560000,236.045122,279.135704,229.471922,225.551128,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},40,1344,5,9,63721,1.701350700,0.035840000,4.120000,4.640000,27.250000,0.000000,0,-1,250,904,4.220000,4.040000,0.000000,4.730000,4.550000,240.283012,279.146433,244.731903,238.658190,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},40,1376,6,9,63753,1.702205100,0.036690000,4.160000,4.700000,27.260000,0.000000,0,-1,253,904,4.260000,4.070000,0.000000,4.800000,4.610000,237.727165,272.420645,255.990028,247.080326,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},44,1408,6,9,63785,1.703059500,0.037540000,4.200000,4.820000,27.300000,0.000000,0,-1,249,904,4.280000,4.130000,0.000000,4.900000,4.750000,228.273869,257.422924,262.203217,250.639915,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},44,1440,6,9,63817,1.703913900,0.038400000,4.230000,4.950000,27.340000,0.000000,0,-1,242,904,4.280000,4.190000,0.000000,5.000000,4.920000,215.485096,238.348246,264.383554,251.631737,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},44,1472,6,9,63849,1.704768300,0.039250000,4.260000,5.080000,27.360000,0.000000,0,-1,234,904,4.290000,4.240000,0.000000,5.110000,5.060000,203.120708,220.961571,263.813734,251.468420,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},44,1504,5,9,63881,1.705622700,0.040100000,4.250000,5.240000,27.340000,0.000000,0,-1,227,904,4.280000,4.240000,0.000000,5.270000,5.220000,192.512274,207.943916,261.489153,249.568224,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},48,1536,5,9,63913,1.706477100,0.040960000,4.190000,5.450000,27.330000,0.000000,0,-1,220,904,4.190000,4.200000,0.000000,5.450000,5.460000,182.585716,197.231770,258.226395,245.499611,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},48,1568,5,9,63945,1.707331500,0.041810000,4.100000,5.700000,27.340000,0.000000,0,-1,214,904,4.050000,4.170000,0.000000,5.650000,5.760000,174.226761,186.022520,256.377459,241.028070,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},48,1600,5,9,63977,1.708185900,0.042660000,4.030000,5.930000,27.360000,0.000000,0,-1,211,904,3.950000,4.130000,0.000000,5.840000,6.020000,170.385838,177.456141,258.734226,240.011215,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},48,1632,5,9,64009,1.709040300,0.043520000,4.020000,6.120000,27.360000,0.000000,0,-1,214,904,3.960000,4.090000,0.000000,6.050000,6.190000,171.462297,176.489353,266.134739,244.439840,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},52,1664,6,9,64041,1.709894700,0.044370000,4.020000,6.290000,27.330000,0.000000,0,-1,221,904,4.020000,4.040000,0.000000,6.280000,6.300000,174.976587,183.213949,276.801586,252.879858,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},52,1696,6,9,64073,1.710749100,0.045220000,3.990000,6.460000,27.310000,0.000000,0,-1,229,904,4.030000,3.960000,0.000000,6.500000,6.430000,177.124739,193.681717,285.935402,260.363817,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},52,1728,7,9,64105,1.711603500,0.046080000,3.920000,6.660000,27.320000,0.000000,0,-1,231,904,3.970000,3.880000,0.000000,6.710000,6.620000,175.396204,201.110840,289.577246,262.311697,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},52,1760,8,9,64137,1.712457900,0.046930000,3.820000,6.850000,27.370000,0.000000,0,-1,230,904,3.850000,3.810000,0.000000,6.880000,6.840000,172.154903,202.823877,288.698673,260.217190,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},56,1792,9,9,64169,1.713312300,0.047780000,3.760000,7.040000,27.420000,0.000000,0,-1,229,903,3.770000,3.760000,0.000000,7.050000,7.040000,171.455145,202.450752,286.899805,257.804394,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},56,1824,11,9,64201,1.714166700,0.048640000,3.730000,7.230000,27.440000,0.000000,0,-1,230,903,3.750000,3.720000,0.000000,7.240000,7.220000,173.807144,203.690529,285.533667,257.520676,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},56,1856,13,9,64233,1.715021100,0.049490000,3.730000,7.420000,27.440000,0.000000,0,-1,231,903,3.760000,3.710000,0.000000,7.460000,7.400000,176.978111,206.570625,283.229351,258.628130,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},56,1888,13,9,64265,1.715875500,0.050340000,3.740000,7.630000,27.420000,0.000000,0,-1,231,903,3.780000,3.700000,0.000000,7.680000,7.590000,178.843737,209.118128,278.728008,259.281397,0.000000,0.000000
